position,title,year,duration,rating_value,rating_count,critic_rating_value,critic_count,directors,screenwriters,production_countries,world_premiere,polish_premiere,boxoffice,boxoffice_usa,boxoffice_outside_usa,budget,genres
297,Fracture,2007,1h 52m,"7,6",165965,"6,5",40,['Gregory Hoblit'],"['Glenn Gers', 'Daniel Pyne']","['USA', 'Niemcy']",11.04.2007,10.08.2007,$92 011 561 ,$39 015 018 ,$52 996 543 ,,"['Thriller', 'Dramat sądowy']"
298,Legends of the Fall,1994,2h 13m,"7,7",100893,"6,2",26,['Edward Zwick'],"['William D. Wittliff', 'Susan Shilliday']",['USA'],16.12.1994,05.05.1995,$160 638 883 ,$66 638 883 ,$94 000 000 ,$30 000 000,['Melodramat']
299,The Fugitive,1993,2h 7m,"7,6",132616,"7,9",46,['Andrew Davis'],"['David Twohy', 'Jeb Stuart']",['USA'],29.07.1993,31.12.1993,$368 875 760 ,$183 875 760 ,$185 000 000 ,$40 000 000,['Sensacyjny']
300,Citizen Kane,1941,1h 59m,"7,8",58855,"8,8",58,['Orson Welles'],"['Orson Welles', 'Herman J. Mankiewicz']",['USA'],01.05.1941,17.09.2010,$1 645 133 ,$1 627 530 ,$17 603 ,$686 033,['Dramat']
301,Crash,2004,1h 53m,"7,6",151633,"6,7",58,['Paul Haggis'],"['Paul Haggis', 'Bobby Moresco']","['USA', 'Niemcy', 'Australia']",10.09.2004,22.07.2005,$98 410 061 ,$54 580 300 ,$43 829 761 ,$6 500 000,['Dramat']
302,Billy Elliot,2000,1h 50m,"7,6",149085,"7,7",42,['Stephen Daldry'],['Lee Hall'],"['Wielka Brytania', 'Francja']",19.05.2000,09.02.2001,$109 283 018 ,$21 995 263 ,$87 287 755 ,$5 000 000,"['Dramat', 'Muzyczny', 'Komedia']"
303,Sztuka spadania,2004,6m,"7,7",88671,"7,3",39,['Tomasz Bagiński'],['Tomasz Bagiński'],['Polska'],26.11.2004,,,,,,"['Animacja', 'Fantasy', 'Krótkometrażowy', 'Groteska filmowa']"
304,The Martian,2015,2h 21m,"7,6",303817,"6,8",80,['Ridley Scott'],['Drew Goddard'],"['USA', 'Wielka Brytania', 'Węgry', 'Jordania']",11.09.2015,02.10.2015,$630 620 818 ,$228 433 663 ,$402 187 155 ,$108 000 000,['Sci-Fi']
305,Amator,1979,1h 57m,"8,0",35338,"8,6",65,['Krzysztof Kieślowski'],['Krzysztof Kieślowski'],['Polska'],17.08.1979,,,,,,"['Obyczajowy', 'Psychologiczny', 'Polityczny']"
306,Logan,2017,2h 17m,"7,6",184043,"7,1",74,['James Mangold'],"['Michael Green', 'Scott Frank']","['USA', 'Kanada', 'Australia']",17.02.2017,03.03.2017,$619 179 950 ,$226 277 068 ,$392 902 882 ,$97 000 000,"['Dramat', 'Akcja', 'Sci-Fi']"
307,Cinderella Man,2005,2h 24m,"7,7",84593,"7,1",20,['Ron Howard'],"['Akiva Goldsman', 'Cliff Hollingsworth']",['USA'],23.05.2005,09.09.2005,$108 539 911 ,$61 649 911 ,$46 890 000 ,$88 000 000,"['Biograficzny', 'Dramat']"
308,Rękopis znaleziony w Saragossie,1964,2h 57m,"8,0",33603,"8,9",51,['Wojciech Has'],['Tadeusz Kwiatkowski'],['Polska'],09.02.1965,,,,,,"['Dramat', 'Fantasy', 'Kostiumowy', 'Poetycki']"
309,Limitless,2011,1h 45m,"7,6",348166,"6,3",53,['Neil Burger'],['Leslie Dixon'],['USA'],08.03.2011,01.04.2011,$161 849 455 ,$79 249 455 ,$82 600 000 ,$27 000 000,"['Thriller', 'Sci-Fi']"
310,Cast Away,2000,2h 23m,"7,5",590927,"6,9",63,['Robert Zemeckis'],['William Broyles Jr.'],['USA'],07.12.2000,19.01.2001,$429 632 142 ,$233 632 142 ,$196 000 000 ,$90 000 000,['Dramat']
311,A Dog's Purpose,2017,1h 40m,"7,7",67336,"5,4",9,['Lasse Hallström'],"['Cathryn Michon', 'W. Bruce Cameron']",['USA'],19.01.2017,17.02.2017,$205 035 819 ,$64 508 620 ,$140 527 199 ,$22 000 000,"['Familijny', 'Komedia']"
312,Dirty Harry,1971,1h 42m,"7,7",83613,"7,7",41,['Don Siegel'],"['Dean Riesner', 'John Milius']",['USA'],21.12.1971,,$35 988 495 ,$4 000 000,,,"['Kryminał', 'Sensacyjny']"
313,Pay It Forward,2000,2h 4m,"7,6",175440,"6,8",25,['Mimi Leder'],['Leslie Dixon'],['USA'],12.10.2000,06.04.2001,$55 707 411 ,$33 519 628 ,$22 187 783 ,$40 000 000,['Dramat']
314,American Sniper,2014,2h 14m,"7,6",254399,"5,8",63,['Clint Eastwood'],['Jason Hall'],['USA'],11.11.2014,20.02.2015,$547 459 020 ,$350 159 020 ,$197 300 000 ,$58 800 000,"['Biograficzny', 'Dramat', 'Wojenny']"
315,Paperman,2012,7m,"7,7",70064,"7,1",41,['John Kahrs'],[],['USA'],02.11.2012,,,,,,"['Animacja', 'Krótkometrażowy', 'Komedia']"
316,Deadpool,2016,1h 48m,"7,6",377711,"6,2",76,['Tim Miller'],"['Rhett Reese', 'Paul Wernick']",['USA'],21.01.2016,12.02.2016,$782 837 347 ,$363 070 709 ,$419 766 638 ,$58 000 000,"['Komedia', 'Akcja', 'Sci-Fi']"
317,Batman Begins,2005,2h 20m,"7,6",367849,"7,4",66,['Christopher Nolan'],"['Christopher Nolan', 'David S. Goyer']","['USA', 'Wielka Brytania']",31.05.2005,29.07.2005,$373 672 993 ,$206 863 479 ,$166 809 514 ,$150 000 000,"['Akcja', 'Sci-Fi']"
318,Finding Neverland,2004,1h 46m,"7,6",254309,"6,6",43,['Marc Forster'],['David Magee'],"['USA', 'Wielka Brytania']",04.09.2004,04.02.2005,$116 650 613 ,$51 680 613 ,$64 970 000 ,$25 000 000,['Dramat']
319,Falling Down,1993,1h 52m,"7,7",101661,"7,6",42,['Joel Schumacher'],['Ebbe Roe Smith'],"['USA', 'Francja', 'Wielka Brytania']",26.02.1993,,$40 903 593 ,$25 000 000,,,['Thriller']
320,Call Me by Your Name,2017,2h 12m,"7,6",131159,"7,9",86,['Luca Guadagnino'],"['James Ivory', 'Luca Guadagnino']","['Włochy', 'Francja', 'Brazylia', 'USA']",22.01.2017,26.01.2018,$43 143 614 ,$18 095 701 ,$25 047 913 ,$3 500 000,['Melodramat']
321,21 Grams,2003,2h 4m,"7,6",147580,"7,0",42,['Alejandro González Iñárritu'],['Guillermo Arriaga'],['USA'],05.09.2003,12.03.2004,$60 466 876 ,$16 290 476 ,$44 176 400 ,$20 000 000,"['Kryminał', 'Thriller']"
322,Red Dragon,2002,2h 4m,"7,6",259281,"6,6",47,['Brett Ratner'],['Ted Tally'],"['USA', 'Niemcy']",30.09.2002,25.10.2002,$209 196 298 ,$93 149 898 ,$116 046 400 ,$78 000 000,['Thriller']
323,Das Boot,1981,2h 29m,"7,8",47891,"7,8",17,['Wolfgang Petersen'],['Wolfgang Petersen'],"['RFN', 'Włochy', 'Francja', 'Wielka Brytania']",17.09.1981,31.12.1990,$84 970 337 ,$11 487 676 ,$73 482 661 ,$14 000 000,"['Dramat', 'Wojenny']"
324,About Time,2013,1h 59m,"7,6",204513,"6,9",55,['Richard Curtis'],['Richard Curtis'],['Wielka Brytania'],27.06.2013,20.09.2013,$87 100 449 ,$15 322 921 ,$71 777 528 ,$12 000 000,"['Dramat', 'Fantasy', 'Komedia', 'Romans']"
325,The Fighter,2010,1h 54m,"7,6",112660,"7,4",53,['David O. Russell'],"['Scott Silver', 'Paul Tamasy']",['USA'],06.12.2010,04.03.2011,$129 190 869 ,$93 617 009 ,$35 573 860 ,$25 000 000,"['Biograficzny', 'Dramat', 'Sportowy']"
326,The Judge,2014,2h 21m,"7,6",166273,"6,9",38,['David Dobkin'],"['Nick Schenk', 'Bill Dubuque']",['USA'],04.09.2014,17.10.2014,$84 419 388 ,$47 119 388 ,$37 300 000 ,$50 000 000,"['Dramat', 'Kryminał']"
327,Ostatnia rodzina,2016,2h 4m,"7,6",133431,"8,2",91,['Jan P. Matuszyński'],['Robert Bolesto'],['Polska'],04.08.2016,30.09.2016,$2 284 311 ,$2 284 311 ,,,['Biograficzny']
328,Krótki film o miłości,1988,1h 23m,"7,8",46488,"8,1",51,['Krzysztof Kieślowski'],"['Krzysztof Kieślowski', 'Krzysztof Piesiewicz']",['Polska'],września 1988,21.10.1990,,,,,"['Dramat', 'Psychologiczny']"
329,Searching for Sugar Man,2012,1h 25m,"7,7",71221,"7,3",35,['Malik Bendjelloul'],['Malik Bendjelloul'],"['Szwecja', 'Wielka Brytania']",19.01.2012,22.02.2013,$9 216 552 ,$3 696 196 ,$5 520 356 ,,"['Biograficzny', 'Dokumentalny', 'Muzyczny']"
330,Misery,1990,1h 47m,"7,6",169248,"7,5",44,['Rob Reiner'],['William Goldman'],['USA'],29.11.1990,31.12.1990,$61 277 271 ,$61 276 872 ,$399 ,$20 000 000,['Thriller']
331,Dogville,2003,2h 58m,"7,7",62317,"8,1",43,['Lars von Trier'],['Lars von Trier'],"['Dania', 'Niemcy', 'Włochy', 'Francja', 'Szwecja', 'Norwegia', 'Holandia', 'Finlandia', 'Wielka Brytania']",19.05.2003,03.10.2003,$16 689 283 ,$1 535 286 ,$15 153 997 ,$10 000 000,"['Dramat', 'Thriller']"
332,Manchester by the Sea,2016,2h 17m,"7,6",130510,"8,4",95,['Kenneth Lonergan'],['Kenneth Lonergan'],['USA'],23.01.2016,20.01.2017,$78 988 148 ,$47 695 371 ,$31 292 777 ,$9 000 000,['Dramat']
333,Annie Hall,1977,1h 33m,"7,7",64557,"8,2",67,['Woody Allen'],"['Woody Allen', 'Marshall Brickman']",['USA'],20.04.1977,03.04.2009,$38 288 028 ,$38 251 425 ,$36 603 ,$4 000 000,['Komedia obycz.']
334,Detachment,2011,1h 38m,"7,8",55228,"7,0",11,['Tony Kaye'],['Carl Lund'],['USA'],25.04.2011,,$1 688 710 ,$72 689 ,$1 616 021 ,,['Dramat']
335,Nóż w wodzie,1961,1h 30m,"7,7",61781,"7,9",76,['Roman Polański'],"['Roman Polański', 'Jerzy Skolimowski']",['Polska'],09.03.1962,,,,,,"['Dramat', 'Psychologiczny']"
336,Dangerous Liaisons,1988,1h 59m,"7,8",51328,"8,0",30,['Stephen Frears'],['Christopher Hampton'],"['USA', 'Wielka Brytania']",16.12.1988,31.12.1988,$34 670 720 ,$14 000 000,,,"['Kostiumowy', 'Melodramat']"
337,Big Fish,2003,2h 5m,"7,6",104464,"7,3",45,['Tim Burton'],['John August'],['USA'],04.12.2003,27.02.2004,$123 218 424 ,$66 809 693 ,$56 408 731 ,$70 000 000,"['Dramat', 'Fantasy']"
338,Mommy,2014,2h 20m,"7,9",41308,"7,9",53,['Xavier Dolan'],['Xavier Dolan'],['Kanada'],22.05.2014,17.10.2014,$13 156 856 ,$3 494 070 ,$9 662 786 ,$4 900 000,['Dramat']
339,Zimna wojna,2018,1h 28m,"7,6",138390,"7,9",97,['Paweł Pawlikowski'],"['Paweł Pawlikowski', 'Janusz Głowacki']","['Polska', 'Francja', 'Wielka Brytania']",10.05.2018,08.06.2018,$20 346 993 ,$4 580 048 ,$15 766 945 ,$4 800 000,['Melodramat']
340,The Butterfly Circus,2009,20m,"7,8",53540,"5,7",11,['Joshua Weigel'],"['Joshua Weigel', 'Rebekah Weigel']",['USA'],31.08.2009,,,,,,"['Dramat', 'Krótkometrażowy']"
341,Memento,2000,1h 53m,"7,6",199765,"7,9",71,['Christopher Nolan'],['Christopher Nolan'],['USA'],05.09.2000,16.11.2001,$40 047 078 ,$25 544 867 ,$14 502 211 ,$9 000 000,"['Kryminał', 'Thriller']"
342,And Now for Something Completely Different,1971,1h 28m,"7,9",43155,"8,1",30,['Ian MacNaughton'],"['John Cleese', 'Graham Chapman']",['Wielka Brytania'],28.09.1971,,,,,,['Komedia']
343,A Time to Kill,1996,2h 29m,"7,7",82960,"6,4",27,['Joel Schumacher'],['Akiva Goldsman'],['USA'],24.07.1996,08.11.1996,$152 266 007 ,$108 766 007 ,$43 500 000 ,$40 000 000,['Dramat']
344,Le fabuleux destin d'Amélie Poulain,2001,2h 9m,"7,6",270357,"7,5",68,['Jean-Pierre Jeunet'],"['Jean-Pierre Jeunet', 'Guillaume Laurant']","['Francja', 'Niemcy']",25.04.2001,19.10.2001,$174 634 081 ,$33 581 249 ,$141 052 832 ,$10 000 000,"['Dramat', 'Komedia rom.']"
345,Nie lubię poniedziałku,1971,1h 38m,"7,6",109991,"7,4",32,['Tadeusz Chmielewski'],['Tadeusz Chmielewski'],['Polska'],27.08.1971,,,,,,['Komedia obycz.']
346,Inside Man,2006,2h 9m,"7,6",157442,"7,0",47,['Spike Lee'],['Russell Gewirtz'],['USA'],16.03.2006,24.03.2006,$186 003 591 ,$88 513 495 ,$97 490 096 ,$45 000 000,"['Sensacyjny', 'Thriller']"
347,The Piano,1993,2h 1m,"7,8",52673,"7,6",48,['Jane Campion'],['Jane Campion'],"['Australia', 'Nowa Zelandia', 'Francja']",15.05.1993,29.11.1993,$40 185 556 ,$40 157 856 ,$27 700 ,$7 000 000,"['Kostiumowy', 'Melodramat']"
348,Det sjunde inseglet,1957,1h 36m,"7,8",54485,"8,3",65,['Ingmar Bergman'],['Ingmar Bergman'],['Szwecja'],16.02.1957,05.01.2007,,,,,['Dramat']
349,Wesele,2004,1h 41m,"7,6",221049,"7,8",79,['Wojciech Smarzowski'],['Wojciech Smarzowski'],['Polska'],13.08.2004,,,,,,"['Dramat', 'Komedia']"
350,Sunset Boulevard,1950,1h 50m,"8,1",23997,"8,8",60,['Billy Wilder'],"['D.M. Marshman Jr.', 'Billy Wilder']",['USA'],10.08.1950,1957,,,,,"['Film-Noir', 'Dramat']"
351,Beauty and the Beast,1991,1h 30m,"7,6",166660,"7,6",49,"['Kirk Wise', 'Gary Trousdale']",['Linda Woolverton'],['USA'],29.09.1991,03.02.2012,$424 967 620 ,$218 967 620 ,$206 000 000 ,$25 000 000,"['Animacja', 'Familijny', 'Baśń']"
352,1917,2019,1h 59m,"7,7",91627,"7,4",91,['Sam Mendes'],"['Sam Mendes', 'Krysty Wilson-Cairns']","['USA', 'Wielka Brytania', 'Indie', 'Hiszpania', 'Kanada']",25.12.2019,24.01.2020,$390 411 425 ,$159 227 644 ,$231 183 781 ,$95 000 000,"['Dramat', 'Wojenny']"
353,El Maquinista,2004,1h 42m,"7,6",141168,"7,1",38,['Brad Anderson'],['Scott Kosar'],"['Hiszpania', 'Francja', 'Wielka Brytania', 'USA']",18.01.2004,09.04.2005,$8 203 235 ,$1 082 715 ,$7 120 520 ,$5 000 000,"['Dramat', 'Thriller']"
354,Trois couleurs Bleu,1993,1h 40m,"7,7",69425,"7,3",45,['Krzysztof Kieślowski'],"['Krzysztof Kieślowski', 'Krzysztof Piesiewicz']","['Francja', 'Polska', 'Szwajcaria']",10.01.1993,,$1 387 584 ,$1 324 974 ,$62 610 ,,"['Melodramat', 'Psychologiczny']"
355,Guardians of the Galaxy Vol. 3,2023,2h 29m,"7,7",72736,"7,6",62,['James Gunn'],['James Gunn'],"['USA', 'Nowa Zelandia', 'Francja', 'Kanada']",03.05.2023,05.05.2023,$845 555 777 ,$358 995 815 ,$486 559 962 ,$250 000 000,"['Akcja', 'Sci-Fi']"
356,L.A. Confidential,1997,2h 18m,"7,7",84508,"8,1",52,['Curtis Hanson'],"['Brian Helgeland', 'Curtis Hanson']",['USA'],14.05.1997,21.11.1997,$126 216 940 ,$64 616 940 ,$61 600 000 ,$35 000 000,"['Kryminał', 'Thriller']"
357,Hotel Rwanda,2004,2h 1m,"7,7",60673,"7,6",26,['Terry George'],"['Keir Pearson', 'Terry George']","['Wielka Brytania', 'Włochy', 'RPA', 'USA']",11.09.2004,04.11.2005,$33 882 243 ,$23 530 892 ,$10 351 351 ,$17 500 000,"['Biograficzny', 'Dramat']"
358,Thelma & Louise,1991,2h 9m,"7,7",78236,"7,9",62,['Ridley Scott'],['Callie Khouri'],"['USA', 'Francja', 'Wielka Brytania']",20.05.1991,05.09.1991,$45 464 975 ,$45 360 915 ,$104 060 ,$16 500 000,['Dramat']
359,Trois couleurs: Rouge,1994,1h 39m,"7,8",46011,"7,4",42,['Krzysztof Kieślowski'],"['Krzysztof Kieślowski', 'Krzysztof Piesiewicz']","['Francja', 'Polska', 'Szwajcaria']",16.05.1994,27.05.1994,$3 600 996 ,$3 581 969 ,$19 027 ,,"['Dramat', 'Psychologiczny']"
360,Love Actually,2003,2h 15m,"7,5",268278,"7,3",70,['Richard Curtis'],['Richard Curtis'],"['Wielka Brytania', 'USA', 'Francja']",07.09.2003,21.11.2003,$250 558 136 ,$60 221 410 ,$190 336 726 ,$40 000 000,"['Komedia rom.', 'Świąteczny']"
361,Harry Potter and the Deathly Hallows: Part 1,2010,2h 26m,"7,5",331370,"6,5",57,['David Yates'],['Steve Kloves'],"['Wielka Brytania', 'USA']",11.11.2010,19.11.2010,$960 897 696 ,$296 374 621 ,$664 523 075 ,,"['Familijny', 'Fantasy', 'Przygodowy']"
362,Fargo,1996,1h 38m,"7,6",118856,"8,4",74,"['Ethan Coen', 'Joel Coen']","['Joel Coen', 'Ethan Coen']","['USA', 'Wielka Brytania']",08.03.1996,15.11.1996,$60 611 975 ,$24 611 975 ,$36 000 000 ,$7 000 000,"['Dramat', 'Thriller']"
363,Twelve Monkeys,1995,2h 9m,"7,6",220917,"7,8",59,['Terry Gilliam'],"['David Webb Peoples', 'Janet Peoples']",['USA'],27.12.1995,31.05.1996,$168 839 459 ,$57 141 459 ,$111 698 000 ,$29 000 000,"['Dramat', 'Sci-Fi']"
364,Ocean's Eleven,2001,1h 56m,"7,6",234732,"7,1",56,['Steven Soderbergh'],['Ted Griffin'],['USA'],05.12.2001,05.04.2002,$450 717 150 ,$183 417 150 ,$267 300 000 ,$85 000 000,['Komedia kryminalna']
365,Underground,1995,2h 43m,"7,9",39514,"8,1",29,['Emir Kusturica'],['Emir Kusturica'],"['Francja', 'Niemcy', 'Węgry', 'Fed. Rep. Jugosławii', 'Bułgaria', 'Czechy']",01.04.1995,05.07.1996,,,,,"['Dramat', 'Komedia', 'Wojenny']"
366,Relatos salvajes,2014,2h 2m,"7,6",130258,"7,4",62,['Damián Szifrón'],['Damián Szifrón'],"['Argentyna', 'Hiszpania', 'Francja', 'Wielka Brytania']",17.05.2014,02.01.2015,$31 061 476 ,$3 106 530 ,$27 954 946 ,$3 300 000,['Czarna komedia']
367,The Wild Robot,2024,1h 41m,"8,1",24472,"7,8",40,['Chris Sanders'],['Chris Sanders'],['USA'],20.09.2024,11.10.2024,$333 165 945 ,$143 901 945 ,$189 264 000 ,$78 000 000,"['Animacja', 'Przygodowy']"
368,Das Leben der Anderen,2006,2h 17m,"7,8",47814,"7,8",28,['Florian Henckel von Donnersmarck'],['Florian Henckel von Donnersmarck'],"['Niemcy', 'Francja']",15.03.2006,26.01.2007,$77 356 942 ,$11 286 112 ,$66 070 830 ,$2 000 000,['Dramat']
369,My Sister's Keeper,2009,1h 49m,"7,6",119041,"6,1",8,['Nick Cassavetes'],"['Nick Cassavetes', 'Jeremy Leven']",['USA'],26.06.2009,21.08.2009,$95 714 875 ,$49 200 230 ,$46 514 645 ,$30 000 000,['Dramat obyczajowy']
370,Corpse Bride,2005,1h 16m,"7,5",236902,"7,3",49,"['Tim Burton', 'Mike Johnson']","['John August', 'Pamela Pettler']","['Wielka Brytania', 'USA']",07.09.2005,,$118 133 252 ,$53 401 527 ,$64 731 725 ,$40 000 000,"['Animacja', 'Czarna komedia']"
371,The Bourne Supremacy,2004,1h 48m,"7,6",160593,"7,2",30,['Paul Greengrass'],"['Tony Gilroy', 'Brian Helgeland']","['Niemcy', 'USA', 'Rosja', 'Indie']",16.07.2004,03.09.2004,$290 835 269 ,$176 241 941 ,$114 593 328 ,$75 000 000,['Sensacyjny']
372,Blood Diamond,2006,2h 23m,"7,5",268043,"6,9",36,['Edward Zwick'],"['Charles Leavitt', 'Marshall Herskovitz']","['USA', 'Niemcy', 'Wielka Brytania']",06.12.2006,26.01.2007,$171 720 398 ,$57 377 916 ,$114 342 482 ,$100 000 000,['Dramat']
373,The Theory of Everything,2014,2h 3m,"7,5",231164,"5,6",63,['James Marsh'],['Anthony McCarten'],['Wielka Brytania'],07.09.2014,30.01.2015,$123 726 688 ,$35 893 537 ,$87 833 151 ,$15 000 000,"['Biograficzny', 'Dramat']"
374,Die Hard,1988,2h 11m,"7,5",229864,"8,0",61,['John McTiernan'],"['Jeb Stuart', 'Steven E. de Souza']",['USA'],12.07.1988,06.01.1989,$141 603 197 ,$83 844 093 ,$57 759 104 ,$28 000 000,"['Sensacyjny', 'Świąteczny']"
375,Harry Potter and the Sorcerer's Stone,2001,2h 32m,"7,5",444337,"6,8",67,['Chris Columbus'],['Steve Kloves'],"['USA', 'Wielka Brytania']",04.11.2001,18.01.2002,$1 024 583 854 ,$318 886 962 ,$705 696 892 ,$125 000 000,"['Familijny', 'Fantasy', 'Przygodowy']"
376,Spirit: Stallion of the Cimarron,2002,1h 23m,"7,6",92764,"6,9",25,"['Lorna Cook', 'Kelly Asbury']","['Henry Mayo', 'John Fusco']",['USA'],18.05.2002,18.10.2002,$122 563 539 ,$73 280 117 ,$49 283 422 ,$80 000 000,"['Familijny', 'Animacja', 'Przygodowy']"
377,I Am Legend,2007,1h 41m,"7,5",486994,"5,8",54,['Francis Lawrence'],"['Akiva Goldsman', 'Mark Protosevich']",['USA'],05.12.2007,11.01.2008,$585 410 052 ,$256 393 010 ,$329 017 042 ,$150 000 000,"['Sci-Fi', 'Horror']"
378,300,2006,1h 57m,"7,5",401360,"6,8",55,['Zack Snyder'],"['Michael Gordon', 'Kurt Johnstad']",['USA'],14.02.2007,23.03.2007,$456 082 343 ,$210 629 101 ,$245 453 242 ,$65 000 000,['Dramat historyczny']
379,Spotlight,2015,2h 8m,"7,6",175697,"7,4",88,['Tom McCarthy'],"['Tom McCarthy', 'Josh Singer']","['USA', 'Kanada']",03.09.2015,05.02.2016,$98 690 254 ,$45 055 776 ,$53 634 478 ,$20 000 000,['Dramat']
380,Puss in Boots: The Last Wish,2022,1h 40m,"7,7",56484,"7,2",53,['Joel Crawford'],"['Paul Fisher', 'Tommy Swerdlow']",['USA'],07.12.2022,06.01.2023,$481 104 372 ,$185 535 345 ,$295 569 027 ,$90 000 000,"['Animacja', 'Komedia', 'Przygodowy']"
381,Harry Potter and the Half-Blood Prince,2009,2h 33m,"7,5",323549,"6,0",57,['David Yates'],['Steve Kloves'],"['USA', 'Wielka Brytania']",06.07.2009,24.07.2009,$934 866 401 ,$302 334 374 ,$632 532 027 ,$250 000 000,"['Familijny', 'Fantasy', 'Przygodowy']"
382,Soul,2020,1h 46m,"7,8",47504,"7,4",58,['Pete Docter'],"['Pete Docter', 'Mike Jones']",['USA'],11.10.2020,05.03.2021,$121 977 511 ,$946 154 ,$121 031 357 ,$150 000 000,"['Animacja', 'Komedia', 'Przygodowy']"
383,Frozen,2013,1h 48m,"7,5",285752,"7,1",61,"['Chris Buck', 'Jennifer Lee']",['Jennifer Lee'],['USA'],17.11.2013,29.11.2013,$1 284 540 518 ,$400 953 009 ,$883 587 509 ,$150 000 000,"['Animacja', 'Familijny', 'Musical', 'Przygodowy']"
384,Training Day,2001,2h 2m,"7,6",117058,"7,2",35,['Antoine Fuqua'],['David Ayer'],"['USA', 'Australia']",02.09.2001,01.02.2002,$104 876 233 ,$76 631 907 ,$28 244 326 ,$45 000 000,"['Dramat', 'Kryminał']"
385,Lion,2016,1h 58m,"7,7",73470,"5,2",49,['Garth Davis'],['Luke Davies'],"['Australia', 'Wielka Brytania', 'USA']",10.09.2016,02.12.2016,$140 853 810 ,$51 738 905 ,$89 114 905 ,$12 000 000,['Dramat']
386,August Rush,2007,1h 54m,"7,6",83026,"5,5",13,['Kirsten Sheridan'],"['James V. Hart', 'Nick Castle']",['USA'],października 2007,,$66 122 026 ,$31 664 162 ,$34 457 864 ,$30 000 000,"['Dramat', 'Muzyczny']"
387,Blade Runner 2049,2017,2h 43m,"7,5",195856,"7,9",92,['Denis Villeneuve'],"['Hampton Fancher', 'Michael Green']","['USA', 'Wielka Brytania', 'Kanada', 'Hiszpania']",03.10.2017,06.10.2017,$267 770 708 ,$92 071 675 ,$175 699 033 ,$150 000 000,"['Thriller', 'Sci-Fi']"
388,Up,2009,1h 36m,"7,5",264058,"7,9",63,"['Pete Docter', 'Bob Peterson']","['Bob Peterson', 'Pete Docter']",['USA'],13.05.2009,16.10.2009,$735 102 136 ,$293 004 164 ,$442 097 972 ,$175 000 000,"['Animacja', 'Familijny', 'Komedia', 'Przygodowy']"
389,The Blues Brothers,1980,2h 13m,"7,6",106199,"7,7",40,['John Landis'],"['Dan Aykroyd', 'John Landis']",['USA'],20.06.1980,31.12.1980,$115 229 890 ,$57 229 890 ,$58 000 000 ,$27 000 000,"['Komedia', 'Musical']"
390,Stalker,1979,2h 43m,"7,9",34410,"8,9",47,['Andriej Tarkowski'],"['Arkadij Strugacki', 'Borys Strugacki']",['ZSRR'],maja 1979,,,,,,"['Sci-Fi', 'Dramat obyczajowy']"
391,Deadpool 2,2018,1h 59m,"7,5",184772,"6,1",59,['David Leitch'],"['Rhett Reese', 'Paul Wernick']",['USA'],01.05.2018,18.05.2018,$785 896 632 ,$324 591 735 ,$461 304 897 ,$110 000 000,"['Komedia', 'Sci-Fi', 'Akcja']"
392,The Last of the Mohicans,1992,1h 52m,"7,6",102551,"6,8",36,['Michael Mann'],"['Philip Dunne', 'Michael Mann']",['USA'],26.08.1992,,$75 505 856 ,$40 000 000,,,['Dramat historyczny']
393,Natural Born Killers,1994,2h 2m,"7,6",108951,"7,5",54,['Oliver Stone'],"['Oliver Stone', 'Richard Rutowski']",['USA'],26.08.1994,17.02.1995,$50 283 563 ,$50 282 766 ,$797 ,$34 000 000,"['Dramat', 'Romans', 'Thriller']"
394,Mulholland Dr.,2001,2h 26m,"7,6",101621,"8,6",67,['David Lynch'],['David Lynch'],"['Francja', 'USA']",16.05.2001,11.01.2002,$20 117 339 ,$7 220 243 ,$12 897 096 ,$15 000 000,"['Thriller', 'Dramat']"
395,Le Petit Prince,2015,1h 48m,"7,6",91206,"6,3",25,['Mark Osborne'],"['Irena Brignull', 'Bob Persichetti']",['Francja'],22.05.2015,07.08.2015,$97 571 250 ,$1 339 152 ,$96 232 098 ,$81 200 000,"['Animacja', 'Fantasy', 'Przygodowy']"
396,Spider-Man: No Way Home,2021,2h 30m,"7,6",103695,"6,5",72,['Jon Watts'],"['Chris McKenna', 'Erik Sommers']","['USA', 'Islandia']",13.12.2021,17.12.2021,$1 921 847 111 ,$814 115 070 ,$1 107 732 041 ,$200 000 000,"['Akcja', 'Sci-Fi']"
397,Idi i smotri,1985,2h 16m,"8,2",20625,"8,6",28,['Elem Klimow'],"['Elem Klimow', 'Ales Adamovich']",['ZSRR'],09.07.1985,,,,,,"['Dramat', 'Wojenny']"
398,Per un pugno di dollari,1964,1h 39m,"7,8",48709,"7,5",35,['Sergio Leone'],"['Sergio Leone', 'Víctor Andrés Catena']","['RFN', 'Hiszpania', 'Włochy']",12.09.1964,,$14 516 248 ,$14 500 000 ,$16 248 ,$200 000,['Western']
399,Guardians of the Galaxy Vol. 2,2017,2h 16m,"7,5",174825,"6,9",68,['James Gunn'],['James Gunn'],['USA'],10.04.2017,05.05.2017,$863 756 051 ,$389 813 101 ,$473 942 950 ,$200 000 000,"['Akcja', 'Sci-Fi']"
400,Lethal Weapon,1987,1h 53m,"7,6",131173,"7,4",40,['Richard Donner'],['Shane Black'],['USA'],06.03.1987,31.12.1987,$120 207 127 ,$65 207 127 ,$55 000 000 ,$15 000 000,['Komedia kryminalna']
