position,title,year,duration,rating_value,rating_count,critic_rating_value,critic_count,directors,screenwriters,production_countries,world_premiere,polish_premiere,boxoffice,boxoffice_usa,boxoffice_outside_usa,budget,genres
125,Per qualche dollaro in più,1965,2h 12m,"8,1",55440,"8,2",33,['Sergio Leone'],"['Sergio Leone', 'Sergio Donati']","['Hiszpania', 'Włochy', 'RFN']",18.12.1965,,$15 000 000 ,$750 000,,,['Western']
126,Room,2015,1h 58m,"7,8",194116,"7,4",68,['Lenny Abrahamson'],['Emma Donoghue'],"['Irlandia', 'Kanada', 'Wielka Brytania', 'USA']",04.09.2015,26.02.2016,$35 401 758 ,$14 677 654 ,$20 724 104 ,$13 000 000,['Dramat']
127,Pink Floyd: The Wall,1982,1h 35m,"8,1",53157,"7,3",22,['Alan Parker'],['Roger Waters'],['Wielka Brytania'],22.05.1982,,$22 265 763 ,$22 244 207 ,$21 556 ,$12 000 000,"['Dramat', 'Muzyczny', 'Animacja dla dorosłych']"
128,Ford v Ferrari,2019,2h 32m,"7,9",95910,"7,2",73,['James Mangold'],"['Jez Butterworth', 'John-Henry Butterworth']",['USA'],30.08.2019,22.11.2019,$225 508 210 ,$117 624 357 ,$107 883 853 ,$97 600 000,"['Biograficzny', 'Dramat', 'Sportowy']"
129,Seksmisja,1983,1h 56m,"7,8",664664,"7,7",67,['Juliusz Machulski'],['Juliusz Machulski'],['Polska'],14.05.1984,,,,,,"['Komedia', 'Sci-Fi']"
130,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,"7,9",112008,"7,6",49,['Guy Ritchie'],['Guy Ritchie'],['Wielka Brytania'],23.08.1998,29.10.1999,$28 356 188 ,$3 753 929 ,$24 602 259 ,$1 400 000,['Komedia kryminalna']
131,Miś,1980,1h 51m,"7,8",344696,"8,1",66,['Stanisław Bareja'],"['Stanisław Bareja', 'Stanisław Tym']",['Polska'],04.05.1981,,,,,,['Komedia']
132,Przesłuchanie,1982,1h 51m,"8,0",56250,"8,0",59,['Ryszard Bugajski'],"['Ryszard Bugajski', 'Janusz Dymek']",['Polska'],13.12.1989,,,,,,"['Dramat', 'Polityczny']"
133,Tylko nie mów nikomu,2019,2h 1m,"7,9",83747,"7,2",32,['Tomasz Sekielski'],['Tomasz Sekielski'],['Polska'],11.05.2019,,,,,,['Dokumentalny']
134,Top Gun: Maverick,2022,2h 11m,"7,9",128365,"7,4",95,['Joseph Kosinski'],"['Eric Warren Singer', 'Christopher McQuarrie']",['USA'],18.05.2022,27.05.2022,$1 495 696 292 ,$718 732 821 ,$776 963 471 ,$170 000 000,['Akcja']
135,Black Hawk Down,2001,2h 24m,"7,8",317664,"7,4",49,['Ridley Scott'],['Ken Nolan'],"['USA', 'Wielka Brytania']",18.12.2001,22.03.2002,$172 989 651 ,$108 638 745 ,$64 350 906 ,$92 000 000,"['Dramat', 'Wojenny']"
136,Trainspotting,1996,1h 34m,"7,8",236709,"7,8",70,['Danny Boyle'],['John Hodge'],['Wielka Brytania'],23.02.1996,23.09.1997,$71 991 080 ,$16 491 080 ,$55 500 000 ,$3 500 000,['Dramat']
137,The Butterfly Effect,2004,1h 53m,"7,8",513210,"6,1",62,"['J. Mackye Gruber', 'Eric Bress']","['J. Mackye Gruber', 'Eric Bress']","['USA', 'Kanada']",17.01.2004,18.06.2004,$96 822 421 ,$57 938 693 ,$38 883 728 ,$13 000 000,"['Thriller', 'Sci-Fi']"
138,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,"7,7",739099,"7,2",70,['Gore Verbinski'],"['Ted Elliott', 'Terry Rossio']",['USA'],28.06.2003,05.09.2003,$654 264 015 ,$305 413 918 ,$348 850 097 ,$140 000 000,"['Fantasy', 'Przygodowy']"
139,Katedra,2002,7m,"7,8",173318,"7,2",53,['Tomasz Bagiński'],['Tomasz Bagiński'],['Polska'],24.03.2002,,,,,,"['Krótkometrażowy', 'Animacja']"
140,Spider-Man: Across the Spider-Verse,2023,2h 20m,"8,1",51118,"8,2",64,"['Joaquim Dos Santos', 'Kemp Powers']","['Dave Callaham', 'Phil Lord']",['USA'],31.05.2023,02.06.2023,$689 935 201 ,$381 311 319 ,$308 623 882 ,$100 000 000,"['Animacja', 'Akcja', 'Sci-Fi']"
141,Million Dollar Baby,2004,2h 12m,"7,8",277388,"8,0",55,['Clint Eastwood'],['Paul Haggis'],['USA'],05.12.2004,18.02.2005,$216 763 646 ,$100 492 203 ,$116 271 443 ,$30 000 000,['Dramat']
